long;amp;estadi
176;137.5;1
176;126.5;1
181.5;121;1
181.5;165;1
181.5;143;1
181.5;143;1
181.5;148.5;1
192.5;154;1
192.5;115.5;1
198;126.5;1
203.5;165;1
203.5;154;1
209;110;1
209;115.5;1
209;115.5;1
209;148.5;1
209;148.5;1
209;148.5;1
209;154;1
209;154;1
209;154;1
209;154;1
209;159.5;1
209;126.5;1
214.5;137.5;1
214.5;126.5;1
214.5;121;1
214.5;159.5;1
214.5;154;1
214.5;148.5;1
214.5;165;1
220;110;1
220;110;1
220;110;1
220;115.5;1
220;121;1
220;121;1
220;121;1
220;126.5;1
220;137.5;1
220;137.5;1
220;137.5;1
220;137.5;1
220;143;1
220;154;1
220;154;1
220;159.5;1
225.5;110;1
225.5;115.5;1
225.5;121;1
225.5;132;1
225.5;137.5;1
225.5;137.5;1
225.5;137.5;1
225.5;143;1
225.5;154;1
225.5;154;1
225.5;165;1
231;121;1
231;137.5;1
231;154;1
231;176;1
236.5;110;1
236.5;110;1
236.5;110;1
236.5;126.5;1
247.5;137.5;1
247.5;137.5;1
247.5;137.5;1
247.5;137.5;1
247.5;154;1
247.5;154;1
264;126.5;1
264;137.5;1
264;165;1
275;159.5;1
203.5;110;2
209;143;2
214.5;154;2
220;110;2
220;121;2
220;126.5;2
220;137.5;2
220;137.5;2
220;143;2
220;143;2
220;143;2
220;148.5;2
220;154;2
225.5;143;2
225.5;148.5;2
225.5;148.5;2
225.5;148.5;2
225.5;148.5;2
225.5;154;2
225.5;165;2
231;121;2
231;126.5;2
231;148.5;2
231;154;2
231;165;2
231;165;2
236.5;121;2
236.5;143;2
236.5;143;2
236.5;143;2
236.5;148.5;2
236.5;154;2
236.5;165;2
236.5;165;2
236.5;165;2
242;143;2
242;143;2
242;148.5;2
242;148.5;2
242;148.5;2
242;154;2
242;154;2
242;154;2
242;165;2
247.5;132;2
247.5;137.5;2
247.5;137.5;2
247.5;137.5;2
247.5;137.5;2
247.5;137.5;2
247.5;137.5;2
247.5;143;2
247.5;143;2
247.5;143;2
247.5;143;2
247.5;143;2
247.5;148.5;2
247.5;148.5;2
247.5;148.5;2
247.5;148.5;2
247.5;154;2
247.5;154;2
247.5;154;2
247.5;154;2
247.5;159.5;2
247.5;165;2
247.5;165;2
247.5;165;2
253;137.5;2
253;143;2
253;148.5;2
253;148.5;2
253;148.5;2
253;154;2
253;165;2
253;165;2
253;165;2
258.5;137.5;2
258.5;148.5;2
258.5;148.5;2
258.5;165;2
258.5;165;2
258.5;165;2
264;132;2
264;143;2
264;148.5;2
264;148.5;2
264;148.5;2
264;159.5;2
264;165;2
275;156;2
 ; ; 
